Country,Year,Im_Value,Em_Value,Net_Migration
FIN,2016,34905,18082,16823
FIN,2017,31797,16973,14824
FIN,2018,31106,19141,11965
FIN,2019,32758,17263,15495
FIN,2020,32898,15084,17814
FIN,2021,36364,13459,22905
FIN,2022,49998,15635,34363
FRA,2011,319816,291594,28222
FRA,2012,327431,255922,71509
FRA,2013,338752,239813,98939
FRA,2014,340383,308103,32280
FRA,2015,364221,324517,39704
FRA,2016,377709,313622,64087
FRA,2017,369621,215470,154151
FRA,2018,387160,188740,198420
FRA,2019,385596,259143,126453
FRA,2020,283250,61006,222244
FRA,2021,336398,154736,181662
FRA,2022,431017,249355,181662
GEO,2022,179778,125269,54509
HRV,2011,8534,12699,-4165
HRV,2012,8959,12877,-3918
HRV,2013,10378,15262,-4884
HRV,2014,10638,20858,-10220
HRV,2015,11706,29651,-17945
HRV,2016,13985,36436,-22451
HRV,2017,15553,47352,-31799
HRV,2018,26029,39515,-13486
HRV,2019,37726,40148,-2422
HRV,2020,33414,34046,-632
HRV,2021,35912,40424,-4512
HRV,2022,57972,46287,11685
HUN,2011,28018,15100,12918
HUN,2012,33702,22880,10822
HUN,2013,38968,34691,4277
HUN,2014,54581,42213,12368
HUN,2015,58344,43225,15119
HUN,2016,53618,39889,13729
HUN,2017,68070,39829,28241
HUN,2018,82937,48178,34759
HUN,2019,88581,49795,38786
HUN,2020,75470,67364,8106
HUN,2021,80471,67999,12472
HUN,2022,94148,58408,35740
IRL,2011,57292,83049,-25757
IRL,2012,61324,81797,-20473
IRL,2013,65539,76560,-11021
IRL,2014,73519,71107,2412
IRL,2015,80792,67160,13632
IRL,2016,93378,55507,37871
IRL,2017,84743,58788,25955
IRL,2018,105699,50258,55441
IRL,2019,96321,51410,44911
IRL,2020,81918,51313,30605
IRL,2021,83770,53673,30097
IRL,2022,157537,61133,96404
ISL,2011,4073,4812,-739
ISL,2012,4960,4758,202
ISL,2013,6406,4372,2034
ISL,2014,5368,4052,1316
ISL,2015,5635,4046,1589
ISL,2016,8710,4159,4551
ISL,2017,12116,3641,8475
ISL,2018,11830,4372,7458
ISL,2019,9872,4590,5282
ISL,2020,8544,6009,2535
ISL,2021,8996,4661,4335
ISL,2022,14878,5091,9787
ITA,2011,385793,82461,303332
ITA,2012,350772,106216,244556
ITA,2013,307454,125735,181719
ITA,2014,277631,136328,141303
ITA,2015,280078,146955,133123
ITA,2016,300823,157065,143758
ITA,2017,343440,155110,188330
ITA,2018,332324,156960,175364
ITA,2019,332778,179505,153273
ITA,2020,247526,159884,87642
ITA,2021,318366,158312,160054
ITA,2022,410985,150189,260796
LIE,2011,650,467,183
LIE,2012,671,439,232
LIE,2013,696,497,199
LIE,2014,615,476,139
LIE,2015,657,468,189
LIE,2016,607,522,85
LIE,2017,645,426,219
LIE,2018,649,484,165
LIE,2019,727,446,281
LIE,2020,713,432,281
LIE,2021,669,516,153
LIE,2022,770,480,290
LTU,2011,15685,53863,-38178
LTU,2012,28797,46807,-18010
LTU,2013,30924,45049,-14125
LTU,2014,33544,43874,-10330
LTU,2015,31085,50445,-19360
LTU,2016,31395,56299,-24904
LTU,2017,33305,53951,-20646
LTU,2018,37420,38638,-1218
LTU,2019,46526,35441,11085
LTU,2020,46020,25245,20775
LTU,2021,44858,25205,19653
LTU,2022,87367,15270,72097
LUX,2011,20268,9264,11004
LUX,2012,20478,10442,10036
LUX,2013,21098,10750,10348
LUX,2014,22332,11283,11049
LUX,2015,23803,12644,11159
LUX,2016,22888,13442,9446
LUX,2017,24379,13831,10548
LUX,2018,24644,13985,10659
LUX,2019,26668,15593,11075
LUX,2020,22490,14870,7620
LUX,2021,25335,15959,9376
LUX,2022,31433,17227,14206
LVA,2011,10234,30311,-20077
LVA,2012,13303,25163,-11860
LVA,2013,8299,22561,-14262
LVA,2014,10365,19017,-8652
LVA,2015,9479,20119,-10640
LVA,2016,8345,20574,-12229
LVA,2017,9916,17724,-7808
LVA,2018,10909,15814,-4905
LVA,2019,11223,14583,-3360
LVA,2020,8840,11990,-3150
LVA,2021,12689,12975,-286
LVA,2022,38708,16680,22028
MDA,2014,98731,122955,-24224
MDA,2015,105834,127277,-21443
MDA,2016,107303,153405,-46102
MDA,2017,107580,158259,-50679
MDA,2018,116739,158788,-42049
MDA,2019,116196,153289,-37093
MDA,2020,65167,72372,-7205
MDA,2021,68356,113769,-45413
MDA,2022,177875,241448,-63573
MNE,2020,6008,28,5980
MNE,2022,15989,54,15935
MKD,2011,1464,1290,174
MKD,2012,1715,1415,300
MKD,2013,2050,1041,1009
MKD,2014,1935,839,1096
MKD,2015,1741,1016,725
MKD,2016,2262,630,1632
MKD,2017,2064,424,1640
MKD,2018,2053,377,1676
MKD,2019,2118,798,1320
MKD,2020,2555,1082,1473
MKD,2021,1570,1412,158
MKD,2022,2452,2374,78
MLT,2011,5465,3806,1659
MLT,2012,9152,5946,3206
MLT,2013,12446,6550,5896
MLT,2014,15928,6200,9728
MLT,2015,18202,8255,9947
MLT,2016,18116,9510,8606
MLT,2017,22750,8036,14714
MLT,2018,27394,10019,17375
MLT,2019,29304,8079,21225
MLT,2020,14751,13804,947
MLT,2021,16963,13146,3817
MLT,2022,34964,13166,21798
NLD,2011,130118,104201,25917
NLD,2012,124566,110431,14135
NLD,2013,129428,112625,16803
NLD,2014,145323,112900,32423
NLD,2015,166872,112330,54542
NLD,2016,189232,111477,77755
NLD,2017,189646,108231,81415
NLD,2018,194306,109635,84671
NLD,2019,215756,107906,107850
NLD,2020,182244,102502,79742
NLD,2021,214105,110342,103763
NLD,2022,326798,109616,217182
NOR,2011,70337,20349,49988
NOR,2012,69908,22693,47215
NOR,2013,68313,26523,41790
NOR,2014,66903,29308,37595
NOR,2015,60816,29173,31643
NOR,2016,61460,34694,26766
NOR,2017,53351,31963,21388
NOR,2018,47864,27158,20706
NOR,2019,48680,23207,25473
NOR,2020,36287,21447,14840
NOR,2021,53947,34297,19650
NOR,2022,90475,32536,57939
POL,2011,157059,265798,-108739
POL,2012,217546,275603,-58057
POL,2013,220311,276446,-56135
POL,2014,222275,268299,-46024
POL,2015,218147,258837,-40690
POL,2016,208302,236441,-28139
POL,2017,209353,218492,-9139
POL,2018,214083,189794,24289
POL,2019,226649,180594,46055
POL,2020,210615,161666,48949
POL,2021,241116,201595,39521
POL,2022,275515,228006,47509
PRT,2011,18820,43998,-25178
PRT,2012,14668,51958,-37290
PRT,2013,17757,53786,-36029
PRT,2014,23077,49572,-26495
PRT,2015,36849,40377,-3528
PRT,2016,37644,38273,-629
PRT,2017,46649,31753,14896
PRT,2018,55357,31600,23757
PRT,2019,95382,28219,67163
PRT,2020,83654,25886,57768
PRT,2021,97119,25079,72040
PRT,2022,167098,30954,136144
ROU,2011,147685,195551,-47866
ROU,2012,167266,170186,-2920
ROU,2013,153646,161755,-8109
ROU,2014,136035,172871,-36836
ROU,2015,132795,194718,-61923
ROU,2016,137455,207578,-70123
ROU,2017,177435,242193,-64758
ROU,2018,172578,231661,-59083
ROU,2019,202422,233736,-31314
ROU,2020,145519,186818,-41299
ROU,2021,194642,216861,-22219
ROU,2022,293024,202311,90713
SWE,2011,96467,51179,45288
SWE,2012,103059,51747,51312
SWE,2013,115845,50715,65130
SWE,2014,126966,51237,75729
SWE,2015,134240,55830,78410
SWE,2016,163005,45878,117127
SWE,2017,144489,45620,98869
SWE,2018,132602,46981,85621
SWE,2019,115805,47718,68087
SWE,2020,82518,48937,33581
SWE,2021,90631,48284,42347
SWE,2022,102436,50592,51844
SVN,2011,14083,12024,2059
SVN,2012,15022,14378,644
SVN,2013,13871,13384,487
SVN,2014,13846,14336,-490
SVN,2015,15420,14913,507
SVN,2016,16623,15572,1051
SVN,2017,18808,17555,1253
SVN,2018,28455,13527,14928
SVN,2019,31319,15106,16213
SVN,2020,36110,17745,18365
SVN,2021,23624,21144,2480
SVN,2022,35613,20956,14657
SVK,2011,4829,1863,2966
SVK,2012,5419,2003,3416
SVK,2013,5149,2770,2379
SVK,2014,5357,3644,1713
SVK,2015,6997,3870,3127
SVK,2016,7686,3801,3885
SVK,2017,7188,3466,3722
SVK,2018,7253,3298,3955
SVK,2019,7016,3384,3632
SVK,2020,6775,2428,4347
SVK,2021,5733,3395,2338
SVK,2022,5463,4468,995
TUR,2022,494052,466914,27138
GBR,2011,566044,350703,215341
GBR,2012,498040,321217,176823
GBR,2013,526046,316934,209112
GBR,2014,631991,319086,312905
GBR,2015,631452,299183,332269
GBR,2016,588993,340440,248553
GBR,2017,644209,359665,284544
GBR,2018,603953,344347,259606
GBR,2019,680906,368385,312521
